held_out_participant,model,n,mae,mape,bias
reis_lab_p1,A_baseline,72,2.2314768991736114,24.16534958133936,-1.5896608158402783
reis_lab_p1,C_mean_residual,72,2.486061258063873,31.998484824291154,0.03252185132230154
reis_lab_p1,C2_linear_residual,72,1.8024442138803185,27.66334270972432,0.02549453694331352
reis_lab_p1,D_random_forest_direct,72,1.43049044642951,19.510385862511228,0.037773971594266625
reis_lab_p10,A_baseline,72,3.0167062072291673,40.47906328020839,-1.4060472211180561
reis_lab_p10,C_mean_residual,72,2.276196448079275,33.155038070606764,0.23048174093771376
reis_lab_p10,C2_linear_residual,72,1.6885394951287882,24.733601590372572,0.22341188448305171
reis_lab_p10,D_random_forest_direct,72,1.3783151963869607,22.87286492327405,0.2261887080456203
reis_lab_p11,A_baseline,72,2.6299584230833335,39.66490505205671,-1.0414254837361117
reis_lab_p11,C_mean_residual,72,2.353010477414055,35.707097937397705,0.6225955012670172
reis_lab_p11,C2_linear_residual,72,1.7612576138208145,27.909014853984278,0.6154480377502457
reis_lab_p11,D_random_forest_direct,72,1.3793854042099811,22.43341072460059,0.6208554432366576
reis_lab_p12,A_baseline,70,2.166907215164286,36.59463601492282,-0.34751736373571473
reis_lab_p12,C_mean_residual,70,2.2325534986646787,37.51042429033542,1.391773751449934
reis_lab_p12,C2_linear_residual,70,1.914164965542947,30.286887040188095,1.423873051864028
reis_lab_p12,D_random_forest_direct,70,1.5423223424565007,24.865084400208378,1.4129507692129113
reis_lab_p13,A_baseline,71,2.6544188189647886,32.53174694575273,-1.416308142908451
reis_lab_p13,C_mean_residual,71,1.9215654087709446,25.835728166545522,0.19928012928713323
reis_lab_p13,C2_linear_residual,71,1.4632567843112156,21.445511102904938,0.19478139884199389
reis_lab_p13,D_random_forest_direct,71,0.8738542331008737,14.079014495449286,0.19488424225184445
reis_lab_p14,A_baseline,72,2.838656384361111,40.692790570347675,-1.136014030444445
reis_lab_p14,C_mean_residual,72,2.0404677168377194,32.26571448291242,0.5214439524821562
reis_lab_p14,C2_linear_residual,72,1.526592221102678,24.408464907782054,0.5143159711666889
reis_lab_p14,D_random_forest_direct,72,1.3584187458268007,23.955948729361687,0.5162015458577149
reis_lab_p2,A_baseline,71,3.716393902387323,36.85632942929541,-2.57844897280986
reis_lab_p2,C_mean_residual,71,2.3842351792897336,24.8809675059088,-1.0309323936311394
reis_lab_p2,C2_linear_residual,71,2.183533382227927,23.314969833840046,-1.012298022118714
reis_lab_p2,D_random_forest_direct,71,1.7906100873894295,20.404128978627988,-0.997923638535745
reis_lab_p3,A_baseline,71,2.5646139114859157,36.052831895124726,-1.0857287143028176
reis_lab_p3,C_mean_residual,71,2.2350460984620764,32.45188879897425,0.5778060409216891
reis_lab_p3,C2_linear_residual,71,1.6901604782443571,24.967814909053285,0.5740841235241382
reis_lab_p3,D_random_forest_direct,71,1.314331928333155,20.574647984008383,0.5819853865659825
reis_lab_p4,A_baseline,71,3.500708241485916,38.938916009440824,-2.0781108752887336
reis_lab_p4,C_mean_residual,71,2.3618097419873174,26.776560492003917,-0.4888068638552585
reis_lab_p4,C2_linear_residual,71,2.1199099109851613,24.120663609568336,-0.49310602024888023
reis_lab_p4,D_random_forest_direct,71,1.7347878878161507,21.873324995063925,-0.4872351171656014
reis_lab_p5,A_baseline,72,3.3759957575694446,39.40972759337304,-1.9551067307361114
reis_lab_p5,C_mean_residual,72,2.0920844035148978,22.53150638308704,-0.36178653543780726
reis_lab_p5,C2_linear_residual,72,1.7505492694934366,18.5847858151958,-0.3687938006304089
reis_lab_p5,D_random_forest_direct,72,1.375349216988103,16.65822897608307,-0.35910630650599146
reis_lab_p6,A_baseline,72,3.4448046369652783,37.26734140597816,-2.250784920979167
reis_lab_p6,C_mean_residual,72,2.2045950048551957,24.262006753825666,-0.6815953158391166
reis_lab_p6,C2_linear_residual,72,2.0580369570470327,23.825831810355144,-0.6885680964716698
reis_lab_p6,D_random_forest_direct,72,1.5672520671501533,17.194855892272454,-0.6801846847549002
reis_lab_p7,A_baseline,72,2.8531104125347224,32.91372570043041,-1.8607757736458335
reis_lab_p7,C_mean_residual,72,1.9173500001342338,21.07802569493994,-0.260156616696026
reis_lab_p7,C2_linear_residual,72,1.470524468249494,18.266575972037945,-0.2672586303475065
reis_lab_p7,D_random_forest_direct,72,0.8257586538250766,12.570221347173883,-0.25763904692714906
reis_lab_p8,A_baseline,71,2.8782159108802823,35.95548281711438,-1.5807149249647894
reis_lab_p8,C_mean_residual,71,2.0472569091655126,27.44001206632641,0.04525809861426582
reis_lab_p8,C2_linear_residual,71,1.2792918982414176,17.994902628913973,0.06391155483250285
reis_lab_p8,D_random_forest_direct,71,1.061879834160734,17.596967249508825,0.07073607102304265
reis_lab_p9,A_baseline,72,3.531800545298611,38.87202179672523,-2.3338934386736114
reis_lab_p9,C_mean_residual,72,1.7728234998352437,19.04736335684141,-0.7703975363984675
reis_lab_p9,C2_linear_residual,72,1.5585291459116226,18.300094447608164,-0.7774054816682496
reis_lab_p9,D_random_forest_direct,72,1.2417267242944208,15.486272535135052,-0.77118102805251
