held_out_participant,model,n,mae,mape,bias
reis_lab_p1,A_baseline,72,2.2314768991736114,24.16534958133936,-1.5896608158402783
reis_lab_p1,C_mean_residual,72,2.486061258063873,31.998484824291154,0.03252185132230154
reis_lab_p1,C2_linear_residual,72,1.7778856644097223,27.087719108973786,0.032735017493055185
reis_lab_p1,D_random_forest_direct,72,1.4294881407082254,19.51337237035296,0.03724297191681695
reis_lab_p10,A_baseline,72,3.0167062072291673,40.47906328020839,-1.4060472211180561
reis_lab_p10,C_mean_residual,72,2.276196448079275,33.155038070606764,0.23048174093771376
reis_lab_p10,C2_linear_residual,72,1.5633807767569445,21.65093729136784,0.2588833344374993
reis_lab_p10,D_random_forest_direct,72,1.3925408592941206,23.12115194494397,0.225443548735374
reis_lab_p11,A_baseline,72,2.6299584230833335,39.66490505205671,-1.0414254837361117
reis_lab_p11,C_mean_residual,72,2.353010477414055,35.707097937397705,0.6225955012670172
reis_lab_p11,C2_linear_residual,72,1.8478138675277778,30.14703909095978,0.6408661829305552
reis_lab_p11,D_random_forest_direct,72,1.3883246126630808,22.55103152857502,0.6197579273412833
reis_lab_p12,A_baseline,70,2.166907215164286,36.59463601492282,-0.34751736373571473
reis_lab_p12,C_mean_residual,70,2.2325534986646787,37.51042429033542,1.391773751449934
reis_lab_p12,C2_linear_residual,70,1.8534326184785714,28.925292831616893,1.4167683505499997
reis_lab_p12,D_random_forest_direct,70,1.5543561529495675,25.05127309381517,1.4164724617322766
reis_lab_p13,A_baseline,71,2.6544188189647886,32.53174694575273,-1.416308142908451
reis_lab_p13,C_mean_residual,71,1.9215654087709446,25.835728166545522,0.19928012928713323
reis_lab_p13,C2_linear_residual,71,1.475481457274648,21.8893976504927,0.18349379371126717
reis_lab_p13,D_random_forest_direct,71,0.8742915663043146,14.14086501071607,0.1976757781595497
reis_lab_p14,A_baseline,72,2.838656384361111,40.692790570347675,-1.136014030444445
reis_lab_p14,C_mean_residual,72,2.0404677168377194,32.26571448291242,0.5214439524821562
reis_lab_p14,C2_linear_residual,72,1.5117020682083333,23.936447503008367,0.532388747333333
reis_lab_p14,D_random_forest_direct,72,1.3565694050845853,23.9935254466187,0.5147236513743507
reis_lab_p2,A_baseline,71,3.716393902387323,36.85632942929541,-2.57844897280986
reis_lab_p2,C_mean_residual,71,2.3842351792897336,24.8809675059088,-1.0309323936311394
reis_lab_p2,C2_linear_residual,71,2.239675517302817,24.797493462750335,-0.9807377052042261
reis_lab_p2,D_random_forest_direct,71,1.796399484903331,20.47662559350535,-1.0002790412947065
reis_lab_p3,A_baseline,71,2.5646139114859157,36.052831895124726,-1.0857287143028176
reis_lab_p3,C_mean_residual,71,2.2350460984620764,32.45188879897425,0.5778060409216891
reis_lab_p3,C2_linear_residual,71,1.7563923534577466,26.44743590046237,0.6070529758380278
reis_lab_p3,D_random_forest_direct,71,1.3657395526511409,21.04892103903517,0.583177648114537
reis_lab_p4,A_baseline,71,3.500708241485916,38.938916009440824,-2.0781108752887336
reis_lab_p4,C_mean_residual,71,2.3618097419873174,26.776560492003917,-0.4888068638552585
reis_lab_p4,C2_linear_residual,71,2.1313967756267598,24.271363677679517,-0.542899607683099
reis_lab_p4,D_random_forest_direct,71,1.7327521292273835,21.809715027268258,-0.4853274105039809
reis_lab_p5,A_baseline,72,3.3759957575694446,39.40972759337304,-1.9551067307361114
reis_lab_p5,C_mean_residual,72,2.0920844035148978,22.53150638308704,-0.36178653543780726
reis_lab_p5,C2_linear_residual,72,1.7420312811111112,17.62680375925054,-0.33444700851388937
reis_lab_p5,D_random_forest_direct,72,1.369779807711241,16.609895432229433,-0.35988089489320735
reis_lab_p6,A_baseline,72,3.4448046369652783,37.26734140597816,-2.250784920979167
reis_lab_p6,C_mean_residual,72,2.2045950048551957,24.262006753825666,-0.6815953158391166
reis_lab_p6,C2_linear_residual,72,2.0243495668263893,22.398925124382718,-0.700437698756945
reis_lab_p6,D_random_forest_direct,72,1.5628938633564502,17.123265469697014,-0.6808012607152896
reis_lab_p7,A_baseline,72,2.8531104125347224,32.91372570043041,-1.8607757736458335
reis_lab_p7,C_mean_residual,72,1.9173500001342338,21.07802569493994,-0.260156616696026
reis_lab_p7,C2_linear_residual,72,1.4993825404374996,19.108924486036933,-0.18976882920138927
reis_lab_p7,D_random_forest_direct,72,0.8455042406633042,12.838653982003443,-0.2577992231659516
reis_lab_p8,A_baseline,71,2.8782159108802823,35.95548281711438,-1.5807149249647894
reis_lab_p8,C_mean_residual,71,2.0472569091655126,27.44001206632641,0.04525809861426582
reis_lab_p8,C2_linear_residual,71,1.3800934122605635,20.422940121549033,0.06805268066901363
reis_lab_p8,D_random_forest_direct,71,1.081315163246751,17.847655101782852,0.06763827589441838
reis_lab_p9,A_baseline,72,3.531800545298611,38.87202179672523,-2.3338934386736114
reis_lab_p9,C_mean_residual,72,1.7728234998352437,19.04736335684141,-0.7703975363984675
reis_lab_p9,C2_linear_residual,72,1.590078446243056,18.701945234281187,-0.7965670497847226
reis_lab_p9,D_random_forest_direct,72,1.2639287564369384,15.749140284301669,-0.7722204576057925
